16:36:41.034 [FXGL Launcher Thread     ] DEBUG FXGLLoggerFactory    - Service [LoggerFactory] initialized
16:36:41.038 [FXGL Launcher Thread     ] DEBUG FXGL                 - FXGL configuration complete
16:36:41.038 [FXGL Launcher Thread     ] DEBUG FXGL                 - Loading FXGL system data
16:36:41.040 [FXGL Launcher Thread     ] DEBUG IOTask               - Executing task: readDataTask(system/fxgl.bundle)
16:36:41.043 [FXGL Launcher Thread     ] DEBUG FS                   - Reading from: system\fxgl.bundle
16:36:41.049 [FXGL Launcher Thread     ] DEBUG IOTask               - Task succeeded: readDataTask(system/fxgl.bundle)
16:36:41.049 [FXGL Launcher Thread     ] DEBUG Bundle               - Logging bundle: FXGL
16:36:41.051 [FXGL Launcher Thread     ] DEBUG Bundle               - FXGL.offline.timer.version.check=2017-01-12T08:38:28.585
16:36:41.056 [FXGL Launcher Thread     ] DEBUG GameApplication      - Configuring GameApplication
16:36:41.059 [FXGL Launcher Thread     ] DEBUG FXGLExceptionHandler - Service [ExceptionHandler] initialized
16:36:41.060 [FXGL Launcher Thread     ] DEBUG FXGLEventBus         - Service [EventBus] initialized
16:36:41.063 [FXGL Launcher Thread     ] DEBUG FXGLExecutor         - Service [Executor] initialized
16:36:41.063 [FXGL Launcher Thread     ] DEBUG PreInitTask          - Injecting gameWorld & physicsWorld
16:36:41.068 [FXGL Launcher Thread     ] DEBUG GameWorld            - Game world initialized
16:36:41.107 [FXGL Launcher Thread     ] DEBUG FXGLPooler           - Service [Pooler] initialized with default size = 128
16:36:41.107 [FXGL Launcher Thread     ] DEBUG PhysicsWorld         - Physics world initialized: appHeight=700.0, physics.ppm=50.0
16:36:41.108 [FXGL Launcher Thread     ] DEBUG FXGLInput            - Service [Input] initialized
16:36:41.125 [FXGL Launcher Thread     ] DEBUG FXGLInput            - Registered new binding: Screenshot - P
16:36:41.125 [FXGL Launcher Thread     ] DEBUG FXGLInput            - Registered new binding: Dev Options - CTRL+0
16:36:41.125 [FXGL Launcher Thread     ] DEBUG FXGLInput            - Registered new binding: Move With Mouse - PRIMARY
16:36:41.125 [FXGL Launcher Thread     ] DEBUG FXGLInput            - Registered new binding: Move up - W
16:36:41.127 [FXGL Launcher Thread     ] DEBUG FXGLInput            - Registered new binding: Open Fuel Shop - 1
16:36:41.127 [FXGL Launcher Thread     ] DEBUG FXGLInput            - Registered new binding: Open Sell - 2
16:36:41.148 [FXGL Launcher Thread     ] DEBUG GameScene            - Game scene initialized: 800.0x700.0
16:36:41.155 [FXGL Launcher Thread     ] DEBUG FXGLAssetLoader      - Service [AssetLoader] initialized: cacheSize=35
16:36:41.156 [FXGL Launcher Thread     ] DEBUG FXGLAssetLoader      - Loading from disk: /assets/sounds/system/notification.wav
16:36:41.191 [FXGL Launcher Thread     ] DEBUG FXGLAssetLoader      - Loading from disk: /assets/sounds/menu/select.wav
16:36:41.192 [FXGL Launcher Thread     ] DEBUG FXGLAssetLoader      - Loading from disk: /assets/sounds/menu/back.wav
16:36:41.194 [FXGL Launcher Thread     ] DEBUG FXGLAssetLoader      - Loading from disk: /assets/sounds/menu/press.wav
16:36:41.196 [FXGL Launcher Thread     ] DEBUG FXGLAssetLoader      - Loading from disk: /assets/ui/fonts/Copperplate_Gothic_Light_Regular.ttf
16:36:41.324 [FXGL Launcher Thread     ] DEBUG FXGLAssetLoader      - Loading from disk: /assets/ui/css/fxgl.css
16:36:41.324 [FXGL Launcher Thread     ] DEBUG FXGLAssetLoader      - Loading from disk: /assets/ui/icons/fxgl_icon.png
